,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003194563498317,3.920316910509216,4.155748879216487,3.5276523920512775,3.9204679998805543,4.143350845479518,2.655713582240097,4.0670130145492935,4.010431955293155,3.805781240592963,3.536587955412182,3.5596322127406728,4.960110404867167,3.9993546230929873,3.266533003900027,3.8875875002435674,2.36407127697851,3.1496896715820486,4.1101881923592245,3.404456018916308,4.0116395308013795,3.609796750307061,3.4819920931356023,3.7985226410628776,3.797201510580414,3.98457232906405,3.331021420786507,3.9905310175990834,3.457328374920013,3.104953866923973,2.721101007581854,3.3529197827275654,3.042151526869984,4.5663247294089855
2,4.970698891071732,4.967979604063059,4.445597774560335,3.9031808775719625,4.831979761010165,4.706191349267829,3.3937678531158633,4.699060959125675,4.53230933324312,4.837690381479248,3.961987395761661,4.067248925651656,4.775352066263317,4.012901248903684,3.9985016000282263,4.217472639726345,2.5234301470749863,3.543104930273059,4.198055842630507,4.3976980543063044,4.993924889090367,4.573638035360688,3.822606375891975,4.732547802398766,4.314496789681175,4.494150779122564,4.414944349947416,4.164618423449338,3.462784470438367,4.390531461232876,2.9943136342721965,4.3469472488050815,4.012759242469227,3.9994133442215603
3,4.017201011607666,3.98567842599826,4.955732195283196,4.08841407809314,4.528656314055217,4.2712612678107815,2.818517378215881,4.338381607603701,4.491330066408824,4.367998118931448,3.72515670632457,3.53169747240962,4.964900055178301,4.196406726644234,3.443732618069011,3.621902670002351,2.725669850813506,3.4183252916878035,4.209384338944646,3.501558766191573,4.440216643161531,3.010946530502249,3.016012272051546,3.8630999223564912,4.081276442993725,4.317240280298242,3.8804187659805933,4.474610503263286,3.206264361544945,3.2348871887468635,2.228862887189609,2.587436811115857,3.4458303111413446,4.594821778430783
4,4.9910668009978325,4.987263267437919,4.92940260538885,4.961956710580799,5.010568763186267,4.961483536717569,3.9442988111252566,5.0762981224973025,4.952258240321751,5.017386222083795,4.5117077631011915,3.822565917558933,5.000349261722194,4.204056316723292,3.5828422516916367,4.372181237049586,3.1149381604345705,3.541533845755414,4.3412102310045935,3.9815136951183496,4.721751161300519,4.591471002221744,3.5988726409497085,4.979608476993573,4.062759700667853,4.7419719028121765,4.503330932885656,4.906931350720982,3.1169149215648075,3.414625477952066,2.0063818083782774,4.223518246149492,4.172006208807106,4.6441051195986125
5,4.9806122835014355,4.24039853979103,5.461858626630976,4.37275543604829,5.164560026627042,4.553475659526972,3.1542428229214288,4.636233281090005,4.982081160830349,4.920307927997954,4.143794535678913,4.107613758569733,4.965474427399596,4.678684327602937,3.291100462014316,4.270488118365009,3.023757186776078,3.4371004856476066,4.969737928440516,3.390583565254671,3.995041462486852,3.488812773062384,3.1089336145555104,4.433184544152374,4.50447346260096,4.722430721674294,3.7368797690827615,5.075808193636036,3.017249075293935,3.6109502303273073,2.996265693631423,2.0318037049443562,4.98074322955296,4.987318248874442
6,4.970658015451802,4.964541234500348,4.169696037440699,3.8783493535893374,4.506674885569031,4.541449239321704,3.553476416530147,4.708459125769672,4.2874523560943105,4.62372668510751,3.8845346180142375,3.787833027906392,4.321288099687559,3.631711683527904,3.9061539333554403,4.099663353178281,2.548609262786887,3.086134267384885,3.7358748034941107,4.183233834192554,4.887677436553558,4.814692451551778,3.9073642997129765,4.846306990252476,4.015537841652425,4.218194596479978,4.733944244503254,3.838778691906313,3.4761301505020903,3.812507884698708,2.0107154809396532,4.979289630002467,4.001676580269186,3.0166538774077623
7,4.9788648770448685,4.1845071417823085,4.219914903798983,2.0411004382987445,4.145871714334792,4.2392303103976126,2.8285341293757607,4.041209105001836,4.001724367550378,4.114879214801725,3.3271956239090827,4.967686067131989,4.988574246504456,4.913418579025205,4.040744419445075,4.9834862903834285,2.158545303718413,2.9394636748917122,4.25898072856515,4.518683478370812,4.619149170946776,4.995932974981599,4.981605887386215,4.693089211397185,4.546887384554437,3.9872666339150618,3.796701182226318,3.667885227084829,5.167895226298475,4.444981381189303,4.287040046083082,4.51792225232031,4.582952958802784,4.002935928577214
8,4.033190529152994,4.611132417113607,4.988333295044564,4.093731106231556,4.8125584297771296,4.38006515467089,3.453446784824547,4.456966037786808,4.893494670111733,5.002096799158693,4.261088457379733,4.029776124247758,4.41490917638722,4.984767231290395,3.4820267170318657,4.048042925036589,3.3209364379813744,4.060001122664754,3.668504186069576,3.9398365357849903,5.03987727772249,3.6350479952857353,3.0011892193229177,4.479923178326557,4.267405570640103,4.697568334234518,4.961261821374496,4.9645829005325695,3.401781973791445,3.474660665577715,2.097801824971862,3.155275595938769,3.7959656265455424,4.4559741684467955
9,4.985854921963329,4.640362280070861,4.999132660142015,4.142972457238265,4.871428937888819,4.667845720562603,3.4073097314394403,4.79625625268878,4.769547927194888,4.763101805230586,4.352231227491024,4.28991068293161,4.999039338904392,4.868041918612255,3.362283919803218,4.977767005061358,2.9894959657898714,3.4539645532934466,4.367665237192408,3.5896260861959335,4.595389311173528,4.565515030178183,3.972960056062193,4.75337100061428,4.4208325193695694,4.743124182578775,4.0537368375669,4.97497758477656,3.9982818405292266,3.4480464220492255,2.6131946980141683,3.735537819056246,4.461434240125803,4.891450513756983
10,4.009603427347849,3.9845505841149604,4.000589812832625,2.524314528732314,3.924336883289726,4.25175213300773,2.7783554315986576,4.018310133400466,4.007845315787734,3.903419210364823,2.5111138264195274,4.011433422132126,4.990411368785591,3.0191450236043607,4.950837199965923,3.5496377626678797,2.9305291770739363,2.790556111184589,4.509949267107454,5.081254771558759,3.9786422957720373,4.001609006437031,4.960474557720757,4.037195603070983,3.644462266831608,3.572035866816743,3.8976553948552386,3.207294284399981,4.9978964143464895,5.324365583848735,2.966990041025313,4.656009428721919,3.3019401724869386,4.018098326888988
